status,start_date,end_date,starting_equity,ending_equity,net_pnl,daily_profit_sum,equity_reconciliation_error,net_return,cagr,max_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,annualized_volatility,sharpe_zero_rf,sortino_zero_mar,calmar,turnover,trading_costs,adverse_execution_costs,explicit_fees,dividend_income,realized_pnl,unrealized_pnl,buy_count,sell_count,completed_round_trips,win_rate,payoff_ratio,profit_factor,average_holding_days,median_holding_days,profitable_days,losing_days,best_day,worst_day,average_invested_exposure,average_cash_allocation,average_approx_3x_invested_exposure,best_month,worst_month,monthly_returns,calendar_year_returns,minimum_equity,maximum_equity,risk_definition,candidate_id,track_id,pair_id,strategy_id,variant,cost_scenario,execution_delay_sessions,protocol_hash,phase,window_id,benchmark,artifact_path,qqq_return_gap,qqq_beta,qqq_correlation,qqq_bootstrap_p05,qqq_bootstrap_p50,qqq_bootstrap_p95,spy_return_gap,spy_beta,spy_correlation,spy_bootstrap_p05,spy_bootstrap_p50,spy_bootstrap_p95,qqqm_return_gap,qqqm_beta,qqqm_correlation,qqqm_bootstrap_p05,qqqm_bootstrap_p50,qqqm_bootstrap_p95,smh_return_gap,smh_beta,smh_correlation,smh_bootstrap_p05,smh_bootstrap_p50,smh_bootstrap_p95,soxx_return_gap,soxx_beta,soxx_correlation,soxx_bootstrap_p05,soxx_bootstrap_p50,soxx_bootstrap_p95,qqq_bootstrap_p025,qqq_bootstrap_p975,spy_bootstrap_p025,spy_bootstrap_p975,qqqm_bootstrap_p025,qqqm_bootstrap_p975,smh_bootstrap_p025,smh_bootstrap_p975,soxx_bootstrap_p025,soxx_bootstrap_p975
OK,2023-09-19,2026-09-18,1000.0,1166.8907609556702,166.8907609556702,166.8907609556702,0.0,0.16689076095567024,0.052831097237979296,0.09649445215024444,2025-02-19,2025-05-23,397,0.08842933349591792,0.628447242613868,0.8709189892427669,0.5475039866097159,6412.55483267567,3.2463132579497302,3.20631325794973,0.04,3.42889755362,150.64995063853036,12.81191276352,5,4,4,1.0,,,140.75,120.0,416,289,0.02674162717077344,-0.03555787971144986,0.2522868404896472,0.7477131595103528,,0.09235420121182969,-0.04146304999039585,"{'2023-09': -0.02982157195027979, '2023-10': -0.020689399701815825, '2023-11': 0.09235420121182969, '2023-12': 0.0008835362869454855, '2024-01': 0.000629204205132794, '2024-02': 0.0014908479222057736, '2024-03': 0.0007443143016734322, '2024-04': -0.0006217018204256464, '2024-05': 0.0015061392172921462, '2024-06': 0.0011522673659187799, '2024-07': -0.0007803859295272275, '2024-08': -0.00020108780364436196, '2024-09': 0.06273169144209678, '2024-10': -0.008449269106959867, '2024-11': 0.05286158440981015, '2024-12': 0.004518725167281357, '2025-01': 0.02126680714187934, '2025-02': -0.026282207813961733, '2025-03': -0.04146304999039585, '2025-04': 0.0, '2025-05': 0.018913984208182244, '2025-06': 0.0231157517063032, '2025-07': 0.00034920668557925083, '2025-08': 5.324424465524835e-05, '2025-09': 0.0012717997705489203, '2025-10': 0.0012909608617983626, '2025-11': -0.00037771532090247195, '2025-12': 0.0003150470599346811, '2026-01': 0.0015239695084672267, '2026-02': 0.00010219254853160997, '2026-03': -0.000806571471236972, '2026-04': 0.004333769497145479, '2026-05': 0.0032265043051007414, '2026-06': 0.0019866676054092203, '2026-07': -0.004015582326326483, '2026-08': 0.000562686659663969, '2026-09': 0.0005718012748454626}","{'2023': 0.03876928136834912, '2024': 0.11884120801120535, '2025': -0.003440481386889682, '2026': 0.007486900283118159}",930.0987796497201,1225.6427959611,daily_mark_to_market_equity,A01__QQQM_SMH__primary,a,QQQM_SMH,A01,primary,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,continuous,,False,A01__QQQM_SMH__primary/base/continuous,-0.7985470012004698,0.20700814874848497,0.47139406734786515,-1.9705230176391206,-0.8385156921413529,-0.15303576142999756,-0.5906630872391999,0.25581600277822375,0.43252638960272766,-1.314495195170229,-0.656669492481557,-0.18020801364334219,-0.8010113395067702,0.21002863933230725,0.4743146764775237,-1.975767566334599,-0.8429850516536748,-0.15672797348172185,-2.72988138111828,0.09741927246676522,0.4030799089521804,-8.238436565470767,-2.826550183931972,-0.5769419905162729,-2.161767270730442,0.08278959853209006,0.3659844343447577,-7.565243966973579,-2.229001807250237,-0.17845708668251703,-2.284416818036706,-0.05007344347383372,-1.4909663536351287,-0.09686377213803384,-2.292841331521496,-0.05427940065816936,-10.337920320266937,-0.285259706559329,-9.293720947795995,0.04404983579806195
OK,2023-09-19,2024-03-18,1000.0,1041.3486167483502,41.348616748350196,41.348616748350196,0.0,0.04134861674835011,0.08519614377071183,0.07426938472688704,2023-10-11,2023-10-26,19,0.10599862955017207,0.8233631569898617,1.163815055507967,1.1471233279231554,2028.3268899643297,1.024170780249964,1.014170780249964,0.01,0.061955148599999996,37.82199475176009,3.464666847990002,2,1,1,1.0,,,56.0,56.0,73,50,0.021788829771800966,-0.02413054546962945,0.324113669447884,0.675886330552116,,0.09235420121182969,-0.02982157195027979,"{'2023-09': -0.02982157195027979, '2023-10': -0.020689399701815825, '2023-11': 0.09235420121182969, '2023-12': 0.0008835362869454855, '2024-01': 0.000629204205132794, '2024-02': 0.0014908479222057736, '2024-03': 0.00036131208049039465}","{'2023': 0.03876928136834912, '2024': 0.002483068594983928}",930.0987796497201,1042.29276876835,daily_mark_to_market_equity,A01__QQQM_SMH__primary,a,QQQM_SMH,A01,primary,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,evaluation,W1,False,A01__QQQM_SMH__primary/base/W1,-0.14514861133142995,0.45298303547678026,0.6809280344940063,-0.29162562079766857,-0.17607549676615808,-0.07270701103775115,-0.12293497312691011,0.6027932691928741,0.6724544060166826,-0.24701594035749336,-0.14602319025067934,-0.040091011368835625,-0.1458859372183299,0.4517168277779496,0.6818436401471215,-0.2927093616530711,-0.17669823663171913,-0.07334139931417354,-0.44774386458959997,0.19954689819670185,0.5111764529992305,-0.8800809617205125,-0.5204593385564236,-0.23397423030112802,-0.32251230547824183,0.19449385240730355,0.5036909499348398,-0.7204470227630222,-0.39911773254371496,-0.1282618003000086,-0.3127384110435111,-0.0598405968157565,-0.2662710633420569,-0.020427606885037287,-0.3143768036683154,-0.06111030146949276,-0.955091406700774,-0.18819018332016413,-0.7867183904405636,-0.08352344098410686
OK,2024-03-19,2024-09-18,1000.0,1027.2849111068504,27.28491110685036,27.28491110685036,0.0,0.027284911106850274,0.05519786740395216,0.24634614575668423,2024-07-10,2024-08-07,49,0.37317436119676256,0.3295358331366454,0.44854856665437676,0.22406629190160346,2017.53129615709,1.0187702831498398,1.0087702831498397,0.01,0.0,27.026492850450218,0.25841825640000055,2,1,1,1.0,,,169.0,169.0,71,56,0.0756668958097706,-0.07441011078030824,0.9062836164490709,0.09371638355092915,,0.12208484326317293,-0.08832600259883283,"{'2024-03': 0.04204764418348028, '2024-04': -0.04800468968882543, '2024-05': 0.12208484326317293, '2024-06': 0.0833638598708848, '2024-07': -0.052174677662085944, '2024-08': -0.014173226188115229, '2024-09': -0.08832600259883283}",{'2024': 0.027284911106851162},923.7359542234801,1300.3324351434799,daily_mark_to_market_equity,A01__QQQM_SMH__primary,a,QQQM_SMH,A01,primary,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,evaluation,W2,False,A01__QQQM_SMH__primary/base/W2,-0.05577499169339967,1.7288472898037834,0.8798542488680724,-0.22027863468019263,-0.03719187656422929,0.2842857690260869,-0.07082190963977268,2.2714066267561597,0.7965694831390763,-0.3127674288516245,-0.053122674033140804,0.3765016141919547,-0.05603636529584946,1.7339464786805159,0.8789916722277535,-0.21931455161728072,-0.037317360546634204,0.28354702455576664,-0.042619674816629864,0.9296414355567386,0.9628482418316344,-0.08201700781945698,0.0,0.011306826254499809,0.016260895812475383,0.9252678093208672,0.9464018952936742,-0.05283693501634548,0.04571242465278019,0.1799727930731287,-0.2427625750699737,0.37856192358631624,-0.3535662970071661,0.49378983014999644,-0.24338300020796233,0.37906234837905034,-0.0986675700643906,0.03130960939662711,-0.07025395788007503,0.2180056605896874
OK,2024-09-19,2025-03-18,1000.0,1006.3970439132802,6.397043913280186,6.397043913280186,0.0,0.006397043913280109,0.013023400849371702,0.09647758226212533,2025-02-19,2025-03-07,19,0.17191105314186103,0.16166774691731686,0.21317828851608905,0.13498888077426835,1985.8559468987198,1.002929438239896,0.9929294382398962,0.01,1.5408107915199998,4.8562331217601375,0.0,1,1,1,1.0,,,164.0,164.0,62,50,0.026846716888493605,-0.03568631091911112,0.9017697081518213,0.09823029184817866,,0.0530728856350311,-0.04162144391909062,"{'2024-09': 0.0068041263115201644, '2024-10': -0.008482756493349397, '2024-11': 0.0530728856350311, '2024-12': 0.004535877347709327, '2025-01': 0.02134716720123797, '2025-02': -0.026379443663392288, '2025-03': -0.04162144391909062}","{'2024': 0.05601270030303929, '2025': -0.04698395802959765}",992.9506826315201,1113.85951710304,daily_mark_to_market_equity,A01__QQQM_SMH__primary,a,QQQM_SMH,A01,primary,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,evaluation,W3,False,A01__QQQM_SMH__primary/base/W3,0.020345748874105084,0.8289619724776092,0.9112833184829571,-0.008838311876046306,0.0007671047646896634,0.03804600547327334,0.017778242214874125,1.07175171552684,0.8502366179604398,-0.04048556391138762,0.017814500207175565,0.09365233397912191,0.019698453993480143,0.8357799176922678,0.9128359001401705,-0.00921313540445715,0.00018012760635321978,0.037856598579565914,0.062498622861055196,0.4153619565216693,0.8037629851057034,-0.0536326123763168,0.10651080417405634,0.23746793522323853,0.1090975818392002,0.43410788888556406,0.7979125170703345,-0.009802959296396335,0.14775041543403672,0.2916530859748351,-0.010188247486800367,0.04738022657617949,-0.052428292317301305,0.11159634731576236,-0.010540799776788807,0.047332075255140195,-0.08128234730191511,0.2615007968925742,-0.039834097221543664,0.31934432387949946
OK,2025-03-19,2025-09-18,1000.0,1043.866577555355,43.86657755535498,43.86657755535498,0.0,0.04386657755535506,0.08946572390485064,0.024337094664069747,2025-05-19,2025-05-23,9,0.05167314819039031,1.6743414832007104,3.190426510717954,3.6761053502797125,2032.220990593755,1.0261188046449041,1.0161188046449041,0.01,0.0,41.71617932313515,2.150398232220002,2,1,1,1.0,,,28.0,28.0,58,31,0.02338515292811061,-0.013828970682259967,0.153798867656878,0.846201132343122,,0.02311479139251915,0.0,"{'2025-03': 0.0, '2025-04': 0.0, '2025-05': 0.018913985933579847, '2025-06': 0.02311479139251915, '2025-07': 0.000349203629105288, '2025-08': 5.3243778791456364e-05, '2025-09': 0.0009407075410885479}",{'2025': 0.043866577555355724},999.5994476435801,1043.866577555355,daily_mark_to_market_equity,A01__QQQM_SMH__primary,a,QQQM_SMH,A01,primary,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,evaluation,W4,False,A01__QQQM_SMH__primary/base/W4,-0.20441384635231521,0.03814794194296142,0.19663897358467272,-0.5280167543041699,-0.23441281140964743,-0.004480538674376511,-0.13661273864728515,0.04190187762080491,0.18916111196220553,-0.3728312658104771,-0.17085212035865383,0.014161160355365587,-0.205048468414225,0.03957340049915472,0.20085613267759242,-0.5286848519297492,-0.23569936413742743,-0.004931851447785206,-0.3577078041039354,0.025659531882935304,0.19814792673892012,-1.070969355895973,-0.440723427454646,-0.004744078298946705,-0.28531424541862954,0.0222812545477945,0.18563411988225872,-1.0145543782184243,-0.3775320591305569,0.06433768944325038,-0.6086079398726769,0.0320075687067319,-0.4229183425981156,0.05688122803188026,-0.6082205830011616,0.031044532561808405,-1.212989918889727,0.06072355015835462,-1.1505278928922968,0.13425083443626612
OK,2025-09-19,2026-03-18,1000.0,1218.8964187606402,218.89641876064024,218.89641876064024,0.0,0.21889641876064014,0.4943109095432394,0.11705274652714992,2025-10-29,2025-11-20,28,0.31317356008647956,1.4414865650078659,2.0576829479482903,4.222975745627514,990.4946903652599,0.4949998452598716,0.4949998452598716,0.0,3.3842451359,0.0,215.5121736247401,1,0,0,,,,,,69,53,0.053416049206249205,-0.057046430757241695,0.9743338282798097,0.025666171720190256,,0.11892820317957575,-0.030932043521928465,"{'2025-09': 0.009308190554740303, '2025-10': 0.11127205849609956, '2025-11': -0.029334422883130373, '2025-12': 0.02519733902527177, '2026-01': 0.11892820317957575, '2026-02': 0.007138170822163614, '2026-03': -0.030932043521928465}","{'2025': 0.11614672938064041, '2026': 0.09205751060796175}",993.0716564547402,1318.4294362906403,daily_mark_to_market_equity,A01__QQQM_SMH__primary,a,QQQM_SMH,A01,primary,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,evaluation,W5,False,A01__QQQM_SMH__primary/base/W5,0.22095261619376527,1.6906745284565707,0.8896438619406073,0.06170534220695013,0.24692725001554927,0.47577083347858096,0.21775713640587138,2.142079599901607,0.8208807887799444,0.036650944846437813,0.22886411017770802,0.4708663852317695,0.22069797232382518,1.6956165755901262,0.889451836664449,0.061224365525854044,0.24659869045097838,0.4752951281727266,-0.025839098914359964,0.992124899829763,0.9955659171868643,-0.030766764131397773,-6.0212139821214095e-05,-3.423004975933187e-06,-0.04594390369374196,0.8935750475292211,0.9846306929141182,-0.13407353265088867,-0.04142848273813171,0.028200949338661293,0.03506327115193446,0.5246527684939976,0.0064606022185173815,0.5133557121379274,0.03525376413333528,0.525168100170851,-0.033885029291839466,4.528218108315598e-06,-0.15317365026345897,0.03900924454492894
OK,2026-03-19,2026-09-18,1000.0,1471.428024553765,471.428024553765,471.428024553765,0.0,0.471428024553765,1.1616759537882824,0.24484286110662257,2026-06-22,2026-07-29,62,0.4583760792812979,1.9026940545163733,2.8110825159600195,4.7445775978022215,990.494952446235,0.49499997623494635,0.49499997623494635,0.0,0.0,0.0,471.4280245537651,1,0,0,,,,,,78,46,0.06827504148413754,-0.09162692461764388,0.9696656619582847,0.03033433804171526,,0.31855302839199795,-0.17488976565231373,"{'2026-03': -0.01230774584623473, '2026-04': 0.31855302839199795, '2026-05': 0.1806461223044007, '2026-06': 0.09451502577597659, '2026-07': -0.17488976565231373, '2026-08': 0.029581694693896043, '2026-09': 0.029213597503761957}",{'2026': 0.47142802455376565},934.445600523765,1716.127907143765,daily_mark_to_market_equity,A01__QQQM_SMH__primary,a,QQQM_SMH,A01,primary,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,evaluation,W6,False,A01__QQQM_SMH__primary/base/W6,0.24775145474896498,1.8702774856371707,0.9012041808587788,-0.11848813991725855,0.2140971316559449,0.8708401387816811,0.3085421988902249,2.5051588250959353,0.7339947587927141,-0.20238347737512252,0.27407894858048554,1.118700993173289,0.24802132930986476,1.8881016979018912,0.900654996862442,-0.11864103326786066,0.21408048082982578,0.8703524603995899,-0.015342600446235111,0.9848859256414303,0.9916483456355994,-0.015402423356349082,-3.9866375490693606e-05,0.02011979099389998,-0.14514893607671525,0.823821726999919,0.9831928788662514,-0.5051131384312302,-0.09950040945102334,0.05371493324994232,-0.16522851236189937,1.0377647900542952,-0.2696248153176561,1.3106148888593088,-0.16514602437082354,1.0382041458349218,-0.019343108010718178,0.027376698554251542,-0.6331010464641372,0.06624172793138351
OK,2023-09-19,2026-09-18,1000.0,1155.163781907385,155.1637819073851,155.1637819073851,0.0,0.155163781907385,0.04928989419721175,0.11632846357212678,2025-02-19,2025-05-23,397,0.08942575471883887,0.5846316229545421,0.8063057147899595,0.4237131023969098,6403.656383669335,3.2418612331347596,3.2018612331347596,0.04,3.4413448105200004,139.4169646870654,12.305472409799998,5,4,4,1.0,,,141.25,121.0,415,289,0.02674720143387943,-0.03556469411834007,0.25215879995475793,0.7478412000452421,,0.10235085527236776,-0.048676402450249956,"{'2023-09': -0.03416537929869978, '2023-10': -0.020688480710591373, '2023-11': 0.10235085527236776, '2023-12': 0.0008667612890627119, '2024-01': 0.0006172683529106493, '2024-02': 0.0014625843424171947, '2024-03': 0.000730224156790138, '2024-04': -0.000609941362909372, '2024-05': 0.0014776308615005451, '2024-06': 0.0011304893123278426, '2024-07': -0.0007656531549973256, '2024-08': -0.00019728859198819837, '2024-09': 0.06228453428728509, '2024-10': -0.008451045318781825, '2024-11': 0.05287279172610293, '2024-12': 0.004519635083650719, '2025-01': 0.02127107028008801, '2025-02': -0.026287366604978324, '2025-03': -0.048676402450249956, '2025-04': 0.0, '2025-05': 0.004111598739671596, '2025-06': 0.03144274830731675, '2025-07': 0.00034450342286529434, '2025-08': 5.252737570837773e-05, '2025-09': 0.0012546774340109756, '2025-10': 0.0012736023373876026, '2025-11': -0.0003726429434539602, '2025-12': 0.00031081468376847887, '2026-01': 0.0015035026991883083, '2026-02': 0.00010082216976115, '2026-03': -0.0007957566221200585, '2026-04': 0.004275614217717827, '2026-05': 0.0031833918584545096, '2026-06': 0.0019602060543133515, '2026-07': -0.003962201148983047, '2026-08': 0.000555176824353909, '2026-09': 0.0005641740268034212}","{'2023': 0.043565569112325786, '2024': 0.1182984456173426, '2025': -0.01741520751836323, '2026': 0.007386351709582462}",925.9361943513,1230.71737918809,daily_mark_to_market_equity,A01__QQQM_SMH__primary,a,QQQM_SMH,A01,primary,base,1,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,delay,,False,A01__QQQM_SMH__primary/base/delay_1_session,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,2020-10-13,2020-12-31,1000.0,1154.3308179333399,154.33081793333986,154.33081793333986,0.0,0.1543308179333398,0.9416858669481769,0.08654346875345997,2020-10-13,2020-10-28,18,0.24524224129905955,2.756796505217097,4.782208123770278,10.881073759948277,990.4948668534599,0.4949999334599948,0.4949999334599948,0.0,7.819843306799999,0.0,146.5109746265399,1,0,0,,,,,,26,29,0.03932996893307861,-0.031942017406987655,0.9722756572800195,0.027724342719980477,,0.1904105212055398,-0.07977619655346002,"{'2020-10': -0.07977619655346002, '2020-11': 0.1904105212055398, '2020-12': 0.05375602514260058}",{'2020': 0.15433081793334003},913.4565312465401,1159.57701556654,daily_mark_to_market_equity,A01__QQQM_SMH__primary,a,QQQM_SMH,A01,primary,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,stress,stress_2020,False,A01__QQQM_SMH__primary/base/stress_2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,2022-01-03,2022-12-30,1000.0,699.3039012624656,-300.6960987375344,-300.6960987375344,0.0,-0.30069609873753433,-0.30363453306545396,0.30069609873753433,2022-01-03,2022-12-16,251,0.1471536882744925,-2.364116318083139,-2.6172678947206363,-1.009772106589532,8096.797033957186,4.098324367534471,4.048324367534471,0.05,0.0,-300.6960987375344,0.0,5,5,5,0.0,,,8.4,3.0,15,21,0.03449350904716386,-0.050906481012674476,0.12227404356008503,0.8777259564399149,,0.0,-0.14006133182729963,"{'2022-01': -0.14006133182729963, '2022-02': -0.040790218828182456, '2022-03': -0.04480189528392753, '2022-04': -0.03057267960189891, '2022-05': 0.0, '2022-06': 0.0, '2022-07': 0.0, '2022-08': 0.0, '2022-09': 0.0, '2022-10': 0.0, '2022-11': 0.0, '2022-12': -0.08446243667981013}",{'2022': -0.30069609873753445},699.3039012624656,1000.0,daily_mark_to_market_equity,A01__QQQM_SMH__primary,a,QQQM_SMH,A01,primary,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,stress,stress_2022,False,A01__QQQM_SMH__primary/base/stress_2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
