candidate_id,cost_scenario,phase,window_id,metric,before,after
A01__QQQM_SMH__primary,base,continuous,,sortino_zero_mar,0.5932822009887297,0.8709189892427669
A01__QQQM_SMH__primary,base,evaluation,W1,sortino_zero_mar,0.8372059746263523,1.163815055507967
A01__QQQM_SMH__primary,base,evaluation,W2,sortino_zero_mar,0.4212821895734611,0.44854856665437676
A01__QQQM_SMH__primary,base,evaluation,W3,sortino_zero_mar,0.19881550901779957,0.21317828851608905
A01__QQQM_SMH__primary,base,evaluation,W4,sortino_zero_mar,1.6910953433400209,3.190426510717954
A01__QQQM_SMH__primary,base,evaluation,W5,sortino_zero_mar,1.997510911084574,2.0576829479482903
A01__QQQM_SMH__primary,base,evaluation,W6,sortino_zero_mar,2.8383479267504357,2.8110825159600195
A01__QQQM_SMH__primary,base,delay,,sortino_zero_mar,0.5498770782271911,0.8063057147899595
A01__QQQM_SMH__primary,base,stress,stress_2020,sortino_zero_mar,4.584671809886232,4.782208123770278
A01__QQQM_SMH__primary,base,stress,stress_2022,win_rate,,0.0
A01__QQQM_SMH__primary,base,stress,stress_2022,sortino_zero_mar,-1.6816957965899644,-2.6172678947206363
A01__QQQM_SMH__primary,stress,continuous,,sortino_zero_mar,0.5665445613304458,0.8315133973770946
A01__QQQM_SMH__primary,stress,evaluation,W1,sortino_zero_mar,0.7909810669970682,1.100455712866821
A01__QQQM_SMH__primary,stress,evaluation,W2,sortino_zero_mar,0.4079197359896569,0.4340879221878782
A01__QQQM_SMH__primary,stress,evaluation,W3,sortino_zero_mar,0.1702132977237364,0.182148024504195
A01__QQQM_SMH__primary,stress,evaluation,W4,sortino_zero_mar,1.6285917222240671,3.02715887720177
A01__QQQM_SMH__primary,stress,evaluation,W5,sortino_zero_mar,1.9908350885947204,2.048374415386309
A01__QQQM_SMH__primary,stress,evaluation,W6,sortino_zero_mar,2.8325882004263874,2.8052992152628247
A01__QQQM_SMH__primary,stress,delay,,sortino_zero_mar,0.5216742368213616,0.7661660052499412
A01__QQQM_SMH__primary,stress,stress,stress_2020,sortino_zero_mar,4.551017226534115,4.74016702310166
A01__QQQM_SMH__primary,stress,stress,stress_2022,win_rate,,0.0
A01__QQQM_SMH__primary,stress,stress,stress_2022,sortino_zero_mar,-1.768190983632747,-2.6795778393638994
A01__QQQM_SMH__primary,severe,continuous,,sortino_zero_mar,0.526146859734805,0.7722146388223209
A01__QQQM_SMH__primary,severe,evaluation,W1,sortino_zero_mar,0.7282425956883497,1.0053399144164983
A01__QQQM_SMH__primary,severe,evaluation,W2,sortino_zero_mar,0.38787754159418664,0.4124484365775951
A01__QQQM_SMH__primary,severe,evaluation,W3,win_rate,,0.0
A01__QQQM_SMH__primary,severe,evaluation,W3,sortino_zero_mar,0.1272715954671296,0.1356607497097491
A01__QQQM_SMH__primary,severe,evaluation,W4,sortino_zero_mar,1.4956663065653801,2.769563186260111
