sensitivity_group,status,start_date,end_date,starting_equity,ending_equity,net_pnl,daily_profit_sum,equity_reconciliation_error,net_return,cagr,max_drawdown,drawdown_peak_date,drawdown_trough_date,drawdown_recovery_sessions,annualized_volatility,sharpe_zero_rf,sortino_zero_mar,calmar,turnover,trading_costs,adverse_execution_costs,explicit_fees,dividend_income,realized_pnl,unrealized_pnl,buy_count,sell_count,completed_round_trips,win_rate,payoff_ratio,profit_factor,average_holding_days,median_holding_days,profitable_days,losing_days,best_day,worst_day,average_invested_exposure,average_cash_allocation,average_approx_3x_invested_exposure,best_month,worst_month,monthly_returns,calendar_year_returns,minimum_equity,maximum_equity,risk_definition,candidate_id,track_id,pair_id,strategy_id,variant,cost_scenario,execution_delay_sessions,protocol_hash,phase,window_id,benchmark,artifact_path
track_a,OK,2023-09-19,2024-03-18,1000.0,1006.15314664581,6.153146645810125,6.153146645810125,0.0,0.00615314664581,0.0124556664586545,0.074269384726887,2023-10-11,2023-10-26,81,0.0972148374317545,0.1755984973998283,0.1635313171031547,0.1677092991204676,1992.24059654021,1.0061186074899764,0.9961186074899764,0.01,0.0661895533,1.7357782460801263,4.351178846430001,2,1,1,1.0,,,49.0,49.0,73,50,0.017834053532195,-0.0241305454696294,0.285642530196382,0.7143574698036179,,0.055058962988707,-0.0298215719502797,"{'2023-09': -0.02982157195027979, '2023-10': -0.020689399701815825, '2023-11': 0.05505896298870705, '2023-12': 0.0009772894036976787, '2024-01': 0.0006959046477763575, '2024-02': 0.0016487792626642683, '2024-03': 0.00039952427621137154}","{'2023': 0.003397523255810775, '2024': 0.002746292796357741}",930.09877964972,1007.16182795581,daily_mark_to_market_equity,A01__QQQM_SMH__buffer_0.02,a,QQQM_SMH,A01,buffer_0.02,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W1,False,A01__QQQM_SMH__buffer_0.02/base/W1
track_a,OK,2024-03-19,2024-09-18,1000.0,1027.2849111068504,27.28491110685036,27.28491110685036,0.0,0.0272849111068502,0.0551978674039521,0.2463461457566842,2024-07-10,2024-08-07,49,0.3731743611967625,0.3295358331366454,0.4212821895734611,0.2240662919016034,2017.53129615709,1.0187702831498398,1.0087702831498395,0.01,0.0,27.026492850450214,0.2584182564000005,2,1,1,1.0,,,169.0,169.0,71,56,0.0756668958097706,-0.0744101107803082,0.9062836164490709,0.0937163835509291,,0.1220848432631729,-0.0883260025988328,"{'2024-03': 0.04204764418348028, '2024-04': -0.04800468968882543, '2024-05': 0.12208484326317293, '2024-06': 0.0833638598708848, '2024-07': -0.052174677662085944, '2024-08': -0.014173226188115229, '2024-09': -0.08832600259883283}",{'2024': 0.027284911106851162},923.73595422348,1300.33243514348,daily_mark_to_market_equity,A01__QQQM_SMH__buffer_0.02,a,QQQM_SMH,A01,buffer_0.02,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W2,False,A01__QQQM_SMH__buffer_0.02/base/W2
track_a,OK,2024-09-19,2025-03-18,1000.0,1006.3970439132802,6.397043913280186,6.397043913280186,0.0,0.0063970439132801,0.0130234008493717,0.0964775822621253,2025-02-19,2025-03-07,19,0.171911053141861,0.1616677469173168,0.1988155090177995,0.1349888807742683,1985.85594689872,1.002929438239896,0.9929294382398962,0.01,1.5408107915199998,4.8562331217601375,0.0,1,1,1,1.0,,,164.0,164.0,62,50,0.0268467168884936,-0.0356863109191111,0.9017697081518212,0.0982302918481786,,0.0530728856350311,-0.0416214439190906,"{'2024-09': 0.0068041263115201644, '2024-10': -0.008482756493349397, '2024-11': 0.0530728856350311, '2024-12': 0.004535877347709327, '2025-01': 0.02134716720123797, '2025-02': -0.026379443663392288, '2025-03': -0.04162144391909062}","{'2024': 0.05601270030303929, '2025': -0.04698395802959765}",992.95068263152,1113.85951710304,daily_mark_to_market_equity,A01__QQQM_SMH__buffer_0.02,a,QQQM_SMH,A01,buffer_0.02,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W3,False,A01__QQQM_SMH__buffer_0.02/base/W3
track_a,OK,2025-03-19,2025-09-18,1000.0,1043.866577555355,43.86657755535498,43.86657755535498,0.0,0.043866577555355,0.0894657239048506,0.0243370946640697,2025-05-19,2025-05-23,9,0.0516731481903903,1.6743414832007104,1.6910953433400209,3.676105350279713,2032.220990593755,1.026118804644904,1.016118804644904,0.01,0.0,41.71617932313515,2.150398232220002,2,1,1,1.0,,,28.0,28.0,58,31,0.0233851529281106,-0.0138289706822599,0.153798867656878,0.846201132343122,,0.0231147913925191,0.0,"{'2025-03': 0.0, '2025-04': 0.0, '2025-05': 0.018913985933579847, '2025-06': 0.02311479139251915, '2025-07': 0.000349203629105288, '2025-08': 5.3243778791456364e-05, '2025-09': 0.0009407075410885479}",{'2025': 0.043866577555355724},999.59944764358,1043.866577555355,daily_mark_to_market_equity,A01__QQQM_SMH__buffer_0.02,a,QQQM_SMH,A01,buffer_0.02,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W4,False,A01__QQQM_SMH__buffer_0.02/base/W4
track_a,OK,2025-09-19,2026-03-18,1000.0,1218.8964187606402,218.89641876064024,218.89641876064024,0.0,0.2188964187606401,0.4943109095432394,0.1170527465271499,2025-10-29,2025-11-20,28,0.3131735600864795,1.441486565007866,1.997510911084574,4.222975745627514,990.49469036526,0.4949998452598716,0.4949998452598716,0.0,3.3842451359,0.0,215.5121736247401,1,0,0,,,,,,69,53,0.0534160492062492,-0.0570464307572416,0.9743338282798096,0.0256661717201902,,0.1189282031795757,-0.0309320435219284,"{'2025-09': 0.009308190554740303, '2025-10': 0.11127205849609956, '2025-11': -0.029334422883130373, '2025-12': 0.02519733902527177, '2026-01': 0.11892820317957575, '2026-02': 0.007138170822163614, '2026-03': -0.030932043521928465}","{'2025': 0.11614672938064041, '2026': 0.09205751060796175}",993.0716564547402,1318.4294362906403,daily_mark_to_market_equity,A01__QQQM_SMH__buffer_0.02,a,QQQM_SMH,A01,buffer_0.02,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W5,False,A01__QQQM_SMH__buffer_0.02/base/W5
track_a,OK,2026-03-19,2026-09-18,1000.0,1471.428024553765,471.428024553765,471.428024553765,0.0,0.471428024553765,1.1616759537882824,0.2448428611066225,2026-06-22,2026-07-29,62,0.4583760792812979,1.9026940545163733,2.8383479267504357,4.7445775978022215,990.494952446235,0.4949999762349463,0.4949999762349463,0.0,0.0,0.0,471.4280245537651,1,0,0,,,,,,78,46,0.0682750414841375,-0.0916269246176438,0.9696656619582849,0.0303343380417152,,0.3185530283919979,-0.1748897656523137,"{'2026-03': -0.01230774584623473, '2026-04': 0.31855302839199795, '2026-05': 0.1806461223044007, '2026-06': 0.09451502577597659, '2026-07': -0.17488976565231373, '2026-08': 0.029581694693896043, '2026-09': 0.029213597503761957}",{'2026': 0.47142802455376565},934.445600523765,1716.127907143765,daily_mark_to_market_equity,A01__QQQM_SMH__buffer_0.02,a,QQQM_SMH,A01,buffer_0.02,base,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W6,False,A01__QQQM_SMH__buffer_0.02/base/W6
track_a,OK,2023-09-19,2024-03-18,1000.0,1003.6978954465502,3.6978954465502056,3.6978954465502056,0.0,0.0036978954465503,0.0074762348169825,0.0743426382762485,2023-10-11,2023-10-26,97,0.0972481564402534,0.1249199889394737,0.116162216804867,0.1005645614728085,1991.2479298813105,2.996858923149931,2.9868589231499314,0.01,0.0592368297,-0.2469587017598274,3.88561731861,2,1,1,,,,49.0,49.0,73,50,0.0178526558009086,-0.0241551412487117,0.2850616787641847,0.7149383212358152,,0.0539859858321003,-0.03081157185084,"{'2023-09': -0.030811571850840047, '2023-10': -0.02071053336690354, '2023-11': 0.05398598583210035, '2023-12': 0.0008764359999799964, '2024-01': 0.0006241522130341348, '2024-02': 0.0014788851065816733, '2024-03': 0.0003584171326029839}","{'2023': 0.0012317299365498524, '2024': 0.0024631315970735645}",929.10877974916,1004.6006222365504,daily_mark_to_market_equity,A01__QQQM_SMH__buffer_0.02,a,QQQM_SMH,A01,buffer_0.02,stress,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W1,False,A01__QQQM_SMH__buffer_0.02/stress/W1
track_a,OK,2024-03-19,2024-09-18,1000.0,1025.24122175575,25.241221755750075,25.241221755750075,0.0,0.02524122175575,0.05101218209327,0.2465338427457645,2024-07-10,2024-08-07,49,0.3735532614292121,0.3189990665769576,0.4079197359896569,0.2069175636298983,2016.51326207607,3.0348138542500447,3.024813854250045,0.01,0.0,25.018452511350016,0.2227692443999985,2,1,1,1.0,,,169.0,169.0,71,56,0.0757374581462673,-0.0744755438807066,0.9070176116694144,0.0929823883305857,,0.1222068006600294,-0.0893396019906151,"{'2024-03': 0.04105764427044001, '2024-04': -0.04805034003189601, '2024-05': 0.12220680066002942, '2024-06': 0.08343806797129716, '2024-07': -0.05221754526343947, '2024-08': -0.014185512724239624, '2024-09': -0.08933960199061519}",{'2024': 0.025241221755750054},922.74595431044,1299.3424352304398,daily_mark_to_market_equity,A01__QQQM_SMH__buffer_0.02,a,QQQM_SMH,A01,buffer_0.02,stress,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W2,False,A01__QQQM_SMH__buffer_0.02/stress/W2
track_a,OK,2024-09-19,2025-03-18,1000.0,1004.4111850368,4.411185036800134,4.411185036800134,0.0,0.0044111850368,0.0089713486493996,0.097458264898541,2025-02-19,2025-03-07,19,0.172106086157326,0.1381638207280065,0.1702132977237364,0.0920532359029709,1985.85008773616,2.9887883147199705,2.9787883147199707,0.01,1.5408107915199998,2.870374245280063,0.0,1,1,1,1.0,,,164.0,164.0,62,50,0.0268729177307696,-0.0357183185662467,0.9026191460694184,0.0973808539305816,,0.0531255714240024,-0.0426099583777174,"{'2024-09': 0.00581412645455992, '2024-10': -0.008491105876693772, '2024-11': 0.05312557142400243, '2024-12': 0.0045401529955808595, '2025-01': 0.021367198706216284, '2025-02': -0.026403679446285855, '2025-03': -0.042609958377717416}","{'2024': 0.05502270044608015, '2025': -0.047971968174599255}",991.96068277456,1112.86951724608,daily_mark_to_market_equity,A01__QQQM_SMH__buffer_0.02,a,QQQM_SMH,A01,buffer_0.02,stress,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W3,False,A01__QQQM_SMH__buffer_0.02/stress/W3
track_a,OK,2025-03-19,2025-09-18,1000.0,1041.6094265830848,41.60942658308477,41.60942658308477,0.0,0.0416094265830848,0.0847689413332029,0.0243606341812078,2025-05-19,2025-05-23,9,0.0513075619982735,1.602169639892916,1.6285917222240671,3.4797510074099387,2031.1882114542457,3.056859346915118,3.046859346915119,0.01,0.0,39.69344186940494,1.9159847136800003,2,1,1,1.0,,,28.0,28.0,57,32,0.0234083364663291,-0.0138423922723526,0.1533662522526604,0.8466337477473396,,0.0220369842849632,0.0,"{'2025-03': 0.0, '2025-04': 0.0, '2025-05': 0.017923985980739632, '2025-06': 0.022036984284963257, '2025-07': 0.00031315166371492786, '2025-08': 4.7748584037554664e-05, '2025-09': 0.0008436234414477273}",{'2025': 0.0416094265830842},998.60944769074,1041.6094265830848,daily_mark_to_market_equity,A01__QQQM_SMH__buffer_0.02,a,QQQM_SMH,A01,buffer_0.02,stress,0,sha256:acd49d7f6e3e633cb9e24e4f31a698d59c7e8a2578e14056df443689e9c014bb,sensitivity_evaluation,W4,False,A01__QQQM_SMH__buffer_0.02/stress/W4
